id,value,deathSeason,deathEpisode,dead,appearances
 .During the War of the Five Kings,0,0,0,0,1
 .During the War of the Five Kings.Galbart Glover,303,6,7,1,2
 .During the War of the Five Kings.Jon Umber,879,6,3,1,3
 .During the War of the Five Kings.Maege Mormont,558,1,10,1,3
 .Dwarf hunter 2,214,0,0,0,1
 .Dwarf hunter 2.Dwarf 1,208,5,2,1,2
 .Edric Baratheon,42,1,0,1,1
 .Ellaria Sand,693,0,0,0,11
 .Ellaria Sand.Doran Martell,520,6,1,1,5
 .Ellaria Sand.Myrcella Baratheon,46,5,10,1,13
 .Euron Greyjoy,329,0,0,0,2
 .Euron Greyjoy.Balon Greyjoy,328,6,2,1,4
 .Euron Greyjoy.Unnamed Greyjoy men,0,7,2,1,1
 .Euron Greyjoy.Obara Sand,696,7,2,1,7
 .Euron Greyjoy.Obara Sand.Merchant captain,535,5,4,1,1
 .Euron Greyjoy.Obara Sand.Trystane Martell,527,6,1,1,5
 .Euron Greyjoy.Nymeria Sand,695,7,2,1,8
 .Euron Greyjoy.Nymeria Sand.Unnamed Greyjoy man,0,7,2,1,1
 .Gendry,293,0,0,0,19
 .Gendry.Gold Cloak,1008,7,5,1,1
 .Gendry.Gold Cloak,1009,7,5,1,1
 .Ghost,299,0,0,0,20
 .Ghost.Rast,648,4,5,1,12
 .Ghost.Rast.Jeor Mormont,555,3,4,1,12
 .Ghost.Rast.Jeor Mormont.Wight,0,3,1,1,1
 .Ghost.Unnamed Wildling,0,4,9,1,1 
 .Gregor Clegane,143,0,0,0,17
 .Gregor Clegane.Hugh,369,1,4,1,2
 .Gregor Clegane.Jaremy Mallister,510,3,1,1,1
 .Gregor Clegane.King's Landing boaster,421,6,2,1,1
 .Gregor Clegane.Oberyn Martell,526,4,8,1,7
 .Gregor Clegane.Prisoners,0,4,7,1,1
 .Gregor Clegane.Unnamed Faith Militant,0,6,8,1,1
 .Grey Worm,325,0,0,0,24
 .Grey Worm.Belicho Paenymion,619,6,9,1,2
 .Grey Worm.Razdal mo Eraz,224,6,9,1,3
 .Grey Worm.Sons of the Harpy,0,5,4,1,1
 .Grey Worm.Yunkai soldiers,0,3,9,1,1
 .Grey Worm.Unnamed Lannister men,0,7,3,1,1
 .Harald Karstark,407,7,1,1,3
 .Hobb,360,0,0,0,1
 .Hobb.Unnamed Wildling,0,4,9,1,1
 .Hoster Tully,854,3,3,1,1
 .Ilyn Payne,622,0,0,0,4
 .Ilyn Payne.Eddard Stark,745,1,9,1,17
 .Ilyn Payne.Eddard Stark.Arthur Dayne,179,6,3,1,1
